"secondary_label","label","percent"
"[25,30)","[76,91)",0.00033266799733865603
"[25,30)","[91,)",0.00033266799733865603
"[25,30)",cancelled,0.0006653359946773121
"[30,45)","[-10,-9)",0.006730520320994046
"[30,45)","[-9,-8)",0.011648977478643541
"[30,45)","[-8,-7)",0.010872378980067305
"[30,45)","[-7,-6)",0.007118819570282164
"[30,45)","[-6,-5)",0.0025886616619207868
"[30,45)","[-5,-4)",0.008672016567434637
"[30,45)","[-4,-3)",0.006342221071705928
"[30,45)","[-3,-2)",0.02394512037276728
"[30,45)","[-2,-1)",0.05332643023556821
"[30,45)","[-1,0)",0.08426093709552161
"[30,45)","[0,1)",0.21641211493657778
"[30,45)","[1,2)",0.09241522133057209
"[30,45)","[2,3)",0.05216153248770386
"[30,45)","[3,4)",0.0740357235309345
"[30,45)","[4,5)",0.04763137457934248
"[30,45)","[5,6)",0.03352316852187419
"[30,45)","[6,7)",0.0473725084131504
"[30,45)","[7,8)",0.03442920010354646
"[30,45)","[8,9)",0.023168521874191043
"[30,45)","[9,10)",0.023168521874191043
"[30,45)","[10,11)",0.020968159461558375
"[30,45)","[11,16)",0.0473725084131504
"[30,45)","[16,21)",0.02342738804038312
"[30,45)","[21,26)",0.01604970230390888
"[30,45)","[26,31)",0.011648977478643541
"[30,45)","[31,46)",0.015531969971524721
"[30,45)","[46,61)",0.0023297954957287085
"[30,45)","[61,76)",0.0006471654154801967
"[30,45)","[76,91)",0.0002588661661920787
"[30,45)","[91,)",0.001553196997152472
"[30,45)",cancelled,0.000388299249288118
"[45,60)","[-10,-9)",0.011503067484662576
"[45,60)","[-9,-8)",0.008052147239263804
"[45,60)","[-8,-7)",0.008243865030674846
"[45,60)","[-7,-6)",0.006134969325153374
"[45,60)","[-6,-5)",0.00325920245398773
"[45,60)","[-5,-4)",0.011311349693251534
"[45,60)","[-4,-3)",0.010736196319018405
"[45,60)","[-3,-2)",0.03815184049079755
"[45,60)","[-2,-1)",0.05003834355828221
"[45,60)","[-1,0)",0.06690950920245399
"[45,60)","[0,1)",0.17523006134969324
"[45,60)","[1,2)",0.08627300613496933
"[45,60)","[2,3)",0.04160276073619632
"[45,60)","[3,4)",0.0598159509202454
"[45,60)","[4,5)",0.04505368098159509
"[45,60)","[5,6)",0.03585122699386503
"[45,60)","[6,7)",0.03987730061349693
"[45,60)","[7,8)",0.04160276073619632
"[45,60)","[8,9)",0.026265337423312884
"[45,60)","[9,10)",0.03374233128834356
"[45,60)","[10,11)",0.021088957055214724
"[45,60)","[11,16)",0.07783742331288343
"[45,60)","[16,21)",0.03508435582822086
"[45,60)","[21,26)",0.023197852760736198
"[45,60)","[26,31)",0.009394171779141104
"[45,60)","[31,46)",0.02262269938650307
"[45,60)","[46,61)",0.00325920245398773
"[45,60)","[61,76)",0.0003834355828220859
"[45,60)","[91,)",0.005751533742331288
"[45,60)",cancelled,0.0017254601226993865
"[60,75)","[-10,-9)",0.020666850372003307
"[60,75)","[-9,-8)",0.002480022044640397
"[60,75)","[-8,-7)",0.002480022044640397
"[60,75)","[-7,-6)",0.005235602094240838
"[60,75)","[-6,-5)",0.0074400661339211905
"[60,75)","[-5,-4)",0.013226784238082117
"[60,75)","[-4,-3)",0.01956461835216313
"[60,75)","[-3,-2)",0.03830256268944613
"[60,75)","[-2,-1)",0.042711490768806835
"[60,75)","[-1,0)",0.07081840727473133
"[60,75)","[0,1)",0.13089005235602094
"[60,75)","[1,2)",0.06944061724993111
"[60,75)","[2,3)",0.043262606778726925
"[60,75)","[3,4)",0.04849820887296776
"[60,75)","[4,5)",0.05235602094240838
"[60,75)","[5,6)",0.04381372278864701
"[60,75)","[6,7)",0.03968035271424635
"[60,75)","[7,8)",0.027831358500964454
"[60,75)","[8,9)",0.032791402590245246
"[60,75)","[9,10)",0.024800220446403967
"[60,75)","[10,11)",0.03361807660512538
"[60,75)","[11,16)",0.10388536786993662
"[60,75)","[16,21)",0.04574262882336732
"[60,75)","[21,26)",0.029760264535684762
"[60,75)","[26,31)",0.004133370074400662
"[60,75)","[31,46)",0.02287131441168366
"[60,75)","[46,61)",0.01212455221824194
"[60,75)","[61,76)",0.0005511160099200882
"[60,75)","[91,)",0.007991182143841279
"[60,75)",cancelled,0.003031138054560485
"[75,90)","[-10,-9)",0.006354515050167224
"[75,90)","[-9,-8)",0.011036789297658863
"[75,90)","[-8,-7)",0.0070234113712374585
"[75,90)","[-7,-6)",0.006354515050167224
"[75,90)","[-6,-5)",0.006020066889632107
"[75,90)","[-5,-4)",0.021070234113712373
"[75,90)","[-4,-3)",0.020066889632107024
"[75,90)","[-3,-2)",0.0451505016722408
"[75,90)","[-2,-1)",0.03076923076923077
"[75,90)","[-1,0)",0.042140468227424746
"[75,90)","[0,1)",0.11505016722408026
"[75,90)","[1,2)",0.05986622073578595
"[75,90)","[2,3)",0.03745819397993311
"[75,90)","[3,4)",0.04046822742474916
"[75,90)","[4,5)",0.0548494983277592
"[75,90)","[5,6)",0.048494983277591976
"[75,90)","[6,7)",0.03879598662207358
"[75,90)","[7,8)",0.024080267558528427
"[75,90)","[8,9)",0.04749163879598662
"[75,90)","[9,10)",0.01939799331103679
"[75,90)","[10,11)",0.045819397993311035
"[75,90)","[11,16)",0.11906354515050167
"[75,90)","[16,21)",0.05752508361204013
"[75,90)","[21,26)",0.03277591973244147
"[75,90)","[26,31)",0.005351170568561873
"[75,90)","[31,46)",0.026421404682274247
"[75,90)","[46,61)",0.01705685618729097
"[75,90)","[61,76)",0.004013377926421404
"[75,90)","[91,)",0.004347826086956522
"[75,90)",cancelled,0.00568561872909699
"[90,120)","[-10,-9)",0.004901960784313725
"[90,120)","[-9,-8)",0.013853367433930093
"[90,120)","[-8,-7)",0.008738277919863598
"[90,120)","[-7,-6)",0.010869565217391304
"[90,120)","[-6,-5)",0.010869565217391304
"[90,120)","[-5,-4)",0.01257459505541347
"[90,120)","[-4,-3)",0.0076726342710997444
"[90,120)","[-3,-2)",0.010869565217391304
"[90,120)","[-2,-1)",0.011295822676896846
"[90,120)","[-1,0)",0.027493606138107418
"[90,120)","[0,1)",0.08034953111679455
"[90,120)","[1,2)",0.02514919011082694
"[90,120)","[2,3)",0.03985507246376811
"[90,120)","[3,4)",0.04731457800511509
"[90,120)","[4,5)",0.04965899403239557
"[90,120)","[5,6)",0.033034953111679456
"[90,120)","[6,7)",0.03815004262574595
"[90,120)","[7,8)",0.04049445865302643
"[90,120)","[8,9)",0.05285592497868713
"[90,120)","[9,10)",0.02877237851662404
"[90,120)","[10,11)",0.043265132139812444
"[90,120)","[11,16)",0.14279624893435636
"[90,120)","[16,21)",0.09676044330775789
"[90,120)","[21,26)",0.05179028132992328
"[90,120)","[26,31)",0.01577152600170503
"[90,120)","[31,46)",0.054774083546462064
"[90,120)","[46,61)",0.014705882352941176
"[90,120)","[61,76)",0.008738277919863598
"[90,120)","[76,91)",0.0008525149190110827
"[90,120)","[91,)",0.007033248081841432
"[90,120)",cancelled,0.008738277919863598
"[120,150)","[-10,-9)",0.01815541031227306
"[120,150)","[-9,-8)",0.017066085693536674
"[120,150)","[-8,-7)",0.0007262164124909223
"[120,150)","[-7,-6)",0.012708787218591141
"[120,150)","[-6,-5)",0.006899055918663762
"[120,150)","[-5,-4)",0.0018155410312273058
"[120,150)","[-4,-3)",0.015250544662309368
"[120,150)","[-3,-2)",0.004357298474945534
"[120,150)","[-2,-1)",0.013071895424836602
"[120,150)","[-1,0)",0.020334059549745823
"[120,150)","[0,1)",0.058823529411764705
"[120,150)","[1,2)",0.023965141612200435
"[120,150)","[2,3)",0.014524328249818447
"[120,150)","[3,4)",0.014524328249818447
"[120,150)","[4,5)",0.011619462599854757
"[120,150)","[5,6)",0.03376906318082789
"[120,150)","[6,7)",0.04212055192447349
"[120,150)","[7,8)",0.027596223674655047
"[120,150)","[8,9)",0.05119825708061002
"[120,150)","[9,10)",0.05010893246187364
"[120,150)","[10,11)",0.02251270878721859
"[120,150)","[11,16)",0.1644880174291939
"[120,150)","[16,21)",0.13144517066085692
"[120,150)","[21,26)",0.05591866376180102
"[120,150)","[26,31)",0.04175744371822803
"[120,150)","[31,46)",0.06971677559912855
"[120,150)","[46,61)",0.021423384168482208
"[120,150)","[61,76)",0.017792302106027596
"[120,150)","[76,91)",0.0018155410312273058
"[120,150)","[91,)",0.010167029774872912
"[120,150)",cancelled,0.024328249818445898
"[150,180)","[-10,-9)",0.02592016588906169
"[150,180)","[-9,-8)",0.0352514256091239
"[150,180)","[-7,-6)",0.002073613271124935
"[150,180)","[-5,-4)",0.01918092275790565
"[150,180)","[-4,-3)",0.029030585795749093
"[150,180)","[-3,-2)",0.0010368066355624676
"[150,180)","[-2,-1)",0.005702436495593572
"[150,180)","[-1,0)",0.004665629860031105
"[150,180)","[0,1)",0.04561949196474858
"[150,180)","[1,2)",0.008812856402280975
"[150,180)","[2,3)",0.017107309486780714
"[150,180)","[3,4)",0.013996889580093312
"[150,180)","[4,5)",0.004665629860031105
"[150,180)","[5,6)",0.015552099533437015
"[150,180)","[6,7)",0.025401762571280455
"[150,180)","[7,8)",0.03006739243131156
"[150,180)","[8,9)",0.0321410057024365
"[150,180)","[9,10)",0.04510108864696734
"[150,180)","[10,11)",0.005702436495593572
"[150,180)","[11,16)",0.10627268014515293
"[150,180)","[16,21)",0.15863141524105753
"[150,180)","[21,26)",0.10627268014515293
"[150,180)","[26,31)",0.04354587869362364
"[150,180)","[31,46)",0.11560393986521514
"[150,180)","[46,61)",0.029030585795749093
"[150,180)","[61,76)",0.00414722654224987
"[150,180)","[76,91)",0.019699326075686883
"[150,180)","[91,)",0.019699326075686883
"[150,180)",cancelled,0.03006739243131156
"[180,240)","[-10,-9)",0.01782985226693836
"[180,240)","[-9,-8)",0.056546102903718795
"[180,240)","[-8,-7)",0.013245033112582781
"[180,240)","[-7,-6)",0.0025471217524197657
"[180,240)","[-5,-4)",0.006622516556291391
"[180,240)","[-4,-3)",0.011207335710646969
"[180,240)","[-3,-2)",0.017320427916454408
"[180,240)","[-2,-1)",0.026490066225165563
"[180,240)","[-1,0)",0.0025471217524197657
"[180,240)","[0,1)",0.08048904737646459
"[180,240)","[1,2)",0.0020376974019358125
"[180,240)","[2,3)",0.0020376974019358125
"[180,240)","[3,4)",0.004584819154355578
"[180,240)","[4,5)",0.0020376974019358125
"[180,240)","[5,6)",0.004075394803871625
"[180,240)","[6,7)",0.012226184411614875
"[180,240)","[7,8)",0.004075394803871625
"[180,240)","[8,9)",0.034640855832908816
"[180,240)","[9,10)",0.049414161996943456
"[180,240)","[10,11)",0.036678553234844626
"[180,240)","[11,16)",0.1293937850229241
"[180,240)","[16,21)",0.16658176260825266
"[180,240)","[21,26)",0.06673458991339785
"[180,240)","[26,31)",0.04686704024452369
"[180,240)","[31,46)",0.08762098828323994
"[180,240)","[46,61)",0.05043301069791136
"[180,240)","[61,76)",0.011207335710646969
"[180,240)","[91,)",0.00815078960774325
"[180,240)",cancelled,0.046357615894039736
"[240,300)","[-10,-9)",0.009551098376313277
"[240,300)","[-9,-8)",0.08595988538681948
"[240,300)","[-7,-6)",0.017191977077363897
"[240,300)","[-4,-3)",0.021967526265520534
"[240,300)","[-2,-1)",0.0019102196752626551
"[240,300)","[0,1)",0.1346704871060172
"[240,300)","[1,2)",0.0009551098376313276
"[240,300)","[5,6)",0.0019102196752626551
"[240,300)","[6,7)",0.024832855778414518
"[240,300)","[8,9)",0.0009551098376313276
"[240,300)","[9,10)",0.038204393505253106
"[240,300)","[10,11)",0.04680038204393505
"[240,300)","[11,16)",0.0725883476599809
"[240,300)","[16,21)",0.21012416427889208
"[240,300)","[21,26)",0.03533906399235912
"[240,300)","[26,31)",0.045845272206303724
"[240,300)","[31,46)",0.12893982808022922
"[240,300)","[46,61)",0.07163323782234957
"[240,300)","[61,76)",0.0038204393505253103
"[240,300)","[76,91)",0.009551098376313277
"[240,300)","[91,)",0.0066857688634192934
"[240,300)",cancelled,0.030563514804202482
"[300,360)","[-9,-8)",0.12602739726027398
"[300,360)","[-7,-6)",0.01643835616438356
"[300,360)","[0,1)",0.1684931506849315
"[300,360)","[6,7)",0.031506849315068496
"[300,360)","[9,10)",0.06438356164383562
"[300,360)","[11,16)",0.07397260273972603
"[300,360)","[16,21)",0.2465753424657534
"[300,360)","[21,26)",0.049315068493150684
"[300,360)","[26,31)",0.06575342465753424
"[300,360)","[31,46)",0.15342465753424658
"[300,360)","[46,61)",0.0027397260273972603
"[300,360)","[76,91)",0.0013698630136986301
"[360,)","[-9,-8)",0.09954751131221719
"[360,)","[0,1)",0.18099547511312217
"[360,)","[1,2)",0.004524886877828055
"[360,)","[2,3)",0.00904977375565611
"[360,)","[7,8)",0.004524886877828055
"[360,)","[9,10)",0.05429864253393665
"[360,)","[11,16)",0.06334841628959276
"[360,)","[16,21)",0.3665158371040724
"[360,)","[21,26)",0.004524886877828055
"[360,)","[26,31)",0.04072398190045249
"[360,)","[31,46)",0.12669683257918551
"[360,)","[46,61)",0.013574660633484163
"[360,)","[61,76)",0.013574660633484163
"[360,)","[76,91)",0.01809954751131222
,"(,-90)",
,"[-90,-75)",
,"[-75,-60)",
,"[-60,-45)",
,"[-45,-30)",
,"[-30,-25)",
,"[-25,-20)",
,"[-20,-15)",
,"[-15,-10)",

