"Time","primary","secondary","substituted","sample_count"
1709078400.000000,0.590,0.030,0.000,11745
1709164800.000000,0.664,0.021,0.000,11490
1709251200.000000,0.632,0.035,0.000,11051
1709337600.000000,0.585,0.047,0.000,9088
1709424000.000000,0.618,0.042,0.000,9282
1709510400.000000,0.636,0.029,0.000,10961
1709596800.000000,0.623,0.027,0.000,11496
1709683200.000000,0.615,0.036,0.000,10856
1709769600.000000,0.273,0.628,0.000,12500
1709856000.000000,0.287,0.635,0.000,11710
1709942400.000000,0.599,0.046,0.000,9284
1710028800.000000,0.671,0.024,0.000,9389
1710115200.000000,0.607,0.036,0.000,10970
1710201600.000000,0.267,0.665,0.000,11808
1710288000.000000,0.581,0.066,0.000,11740
1710374400.000000,0.605,0.054,0.000,10901
1710460800.000000,0.575,0.041,0.000,10535
1710547200.000000,0.569,0.027,0.000,6858
1710633600.000000,0.651,0.019,0.000,7382
1710720000.000000,0.579,0.037,0.000,10118
1710806400.000000,0.587,0.028,0.000,10099
1710892800.000000,0.568,0.043,0.000,10690
1710979200.000000,0.600,0.040,0.000,10611
1711065600.000000,0.604,0.037,0.000,10428
1711152000.000000,0.577,0.058,0.000,7477
1711238400.000000,0.577,0.041,0.000,7277
1711324800.000000,0.591,0.040,0.000,10349
1711411200.000000,0.627,0.039,0.000,9885
1711497600.000000,0.624,0.030,0.000,10277
1711584000.000000,0.559,0.027,0.000,10653
1711670400.000000,0.663,0.022,0.000,10048
1711756800.000000,0.671,0.022,0.000,7409
1711843200.000000,0.696,0.028,0.000,7278
1711929600.000000,0.613,0.038,0.000,8164
1712016000.000000,0.633,0.042,0.000,9841
1712102400.000000,0.601,0.029,0.000,9796
1712188800.000000,0.603,0.029,0.000,9836
1712275200.000000,0.594,0.024,0.000,9708
1712361600.000000,0.565,0.032,0.000,8238
1712448000.000000,0.611,0.036,0.000,7678
1712534400.000000,0.531,0.045,0.000,10654
1712620800.000000,0.586,0.036,0.000,10342
1712707200.000000,0.598,0.046,0.000,10665
1712793600.000000,0.589,0.035,0.000,10853
1712880000.000000,0.587,0.032,0.000,10733
1712966400.000000,0.598,0.048,0.000,8261
1713052800.000000,0.595,0.036,0.000,8498
1713139200.000000,0.576,0.048,0.000,11413
1713225600.000000,0.515,0.052,0.000,11140
1713312000.000000,0.538,0.048,0.000,11630
1713398400.000000,0.611,0.025,0.000,11113
1713484800.000000,0.533,0.027,0.000,11419
1713571200.000000,0.614,0.021,0.000,9001
1713657600.000000,0.567,0.049,0.000,9198
1713744000.000000,0.584,0.056,0.000,12565
1713830400.000000,0.531,0.042,0.000,14428
1713916800.000000,0.562,0.040,0.000,14661
1714003200.000000,0.562,0.034,0.000,14429
1714089600.000000,0.500,0.056,0.000,14805
1714176000.000000,0.515,0.035,0.000,12071
1714262400.000000,0.601,0.021,0.000,11788
1714348800.000000,0.597,0.021,0.000,14392
1714435200.000000,0.490,0.059,0.000,14479
1714521600.000000,0.574,0.038,0.000,12669
1714608000.000000,0.557,0.037,0.000,14431
1714694400.000000,0.526,0.032,0.000,13460
1714780800.000000,0.577,0.037,0.000,8785
1714867200.000000,0.584,0.036,0.000,8619
1714953600.000000,0.550,0.039,0.000,11027
1715040000.000000,0.597,0.053,0.000,10553
1715126400.000000,0.569,0.046,0.000,10574
1715212800.000000,0.593,0.041,0.000,9353
1715299200.000000,0.586,0.037,0.000,10087
1715385600.000000,0.558,0.036,0.000,8222
1715472000.000000,0.534,0.045,0.000,8397
1715558400.000000,0.520,0.059,0.000,10563
1715644800.000000,0.774,0.021,0.000,4720
1715731200.000000,0.587,0.034,0.000,10573
1715817600.000000,0.558,0.035,0.000,10762
1715904000.000000,0.528,0.042,0.000,11639
1715990400.000000,0.561,0.024,0.000,8598
1716076800.000000,0.623,0.036,0.000,8411
1716163200.000000,0.643,0.031,0.000,9079
1716249600.000000,0.593,0.048,0.000,11351
1716336000.000000,0.585,0.027,0.000,10657
1716422400.000000,0.562,0.034,0.000,10837
1716508800.000000,0.566,0.031,0.000,11779
1716595200.000000,0.532,0.034,0.000,8395
1716681600.000000,0.565,0.022,0.000,8356
1716768000.000000,0.505,0.075,0.000,11069
1716854400.000000,0.541,0.026,0.000,10856
1716940800.000000,0.534,0.041,0.000,10807
1717027200.000000,0.578,0.044,0.000,10068
1717113600.000000,0.533,0.045,0.000,10368
1717200000.000000,0.455,0.077,0.000,8270
1717286400.000000,0.446,0.147,0.000,8372
1717372800.000000,0.399,0.197,0.000,10990
1717459200.000000,0.436,0.143,0.000,11430
1717545600.000000,0.470,0.081,0.000,11211
1717632000.000000,0.438,0.098,0.000,11103
1717718400.000000,0.410,0.109,0.000,11385
1717804800.000000,0.378,0.127,0.000,7302
