"Time","primary"
1705708800.000000,53127639
1705795200.000000,32392039
1705881600.000000,64125477
1705968000.000000,64965086
1706054400.000000,53763493
1706140800.000000,55824659
1706227200.000000,53716430
1706313600.000000,44016672
1706400000.000000,28539697
1706486400.000000,58605995
1706572800.000000,66207821
1706659200.000000,65007131
1706745600.000000,63870407
1706832000.000000,42220238
1706918400.000000,53043180
1707004800.000000,34419315
1707091200.000000,63113983
1707177600.000000,66923846
1707264000.000000,68528628
1707350400.000000,67299379
1707436800.000000,65478265
1707523200.000000,54145442
1707609600.000000,34322075
1707696000.000000,61859882
1707782400.000000,61179431
1707868800.000000,62291543
1707955200.000000,53156417
1708041600.000000,61755037
1708128000.000000,52077146
1708214400.000000,34071873
1708300800.000000,58140319
1708387200.000000,7279143
1708473600.000000,32774378
1708560000.000000,66897448
1708646400.000000,67118060
1708732800.000000,53510708
1708819200.000000,34796497
1708905600.000000,65865143
1708992000.000000,62914050
1709078400.000000,62659238
1709164800.000000,44285302
1709251200.000000,37427600
1709337600.000000,48238148
1709424000.000000,31583637
1709510400.000000,57665184
1709596800.000000,49621183
1709683200.000000,47727791
1709769600.000000,46563479
1709856000.000000,45908911
1709942400.000000,47071330
1710028800.000000,31505052
1710115200.000000,56909640
1710201600.000000,46217597
1710288000.000000,57382017
1710374400.000000,52426724
1710460800.000000,52223399
1710547200.000000,43399708
1710633600.000000,27774550
1710720000.000000,50807958
1710806400.000000,48066784
1710892800.000000,48678954
1710979200.000000,51193383
1711065600.000000,50905897
1711152000.000000,43084528
1711238400.000000,26142322
1711324800.000000,50632140
1711411200.000000,49112432
1711497600.000000,50120341
1711584000.000000,50542376
1711670400.000000,35453039
1711756800.000000,43817560
1711843200.000000,24625280
1711929600.000000,31473872
1712016000.000000,50814019
1712102400.000000,47797507
1712188800.000000,52214807
1712275200.000000,52153687
1712361600.000000,43703394
1712448000.000000,27106087
1712534400.000000,48410301
1712620800.000000,50116829
1712707200.000000,51174277
1712793600.000000,50715461
1712880000.000000,50948187
1712966400.000000,39233848
1713052800.000000,26636462
1713139200.000000,50387304
1713225600.000000,51930908
1713312000.000000,52905408
1713398400.000000,48702254
1713484800.000000,48251361
1713571200.000000,43077654
1713657600.000000,27263134
1713744000.000000,51435279
1713830400.000000,51414404
1713916800.000000,52429107
1714003200.000000,52502190
1714089600.000000,52539460
1714176000.000000,44015979
1714262400.000000,28307005
1714348800.000000,51951671
1714435200.000000,53175462
1714521600.000000,36159370
1714608000.000000,53493158
1714694400.000000,54343695
1714780800.000000,44428941
1714867200.000000,25553745
1714953600.000000,51672060
1715040000.000000,50862899
1715126400.000000,50911104
1715212800.000000,35605952
1715299200.000000,52351772
1715385600.000000,43289679
1715472000.000000,25411065
1715558400.000000,52244945
1715644800.000000,2009209
1715731200.000000,39031183
1715817600.000000,53267756
1715904000.000000,54578998
1715990400.000000,43691820
1716076800.000000,27409090
1716163200.000000,33650138
1716249600.000000,49603460
1716336000.000000,51165241
1716422400.000000,51108020
1716508800.000000,51885610
1716595200.000000,40990650
1716681600.000000,23243032
1716768000.000000,45959974
1716854400.000000,49577842
1716940800.000000,50442901
1717027200.000000,40320122
1717113600.000000,48673679
1717200000.000000,39657159
1717286400.000000,24750619
1717372800.000000,48363316
1717459200.000000,50005974
1717545600.000000,50778527
1717632000.000000,51479098
1717718400.000000,50940755
1717804800.000000,39357288
