"label","secondary_label","percent"
"[-2,-1)","[5,10)",0.02450734503762092440
"[-2,-1)","[10,15)",0.02912715779236566983
"[-2,-1)","[15,20)",0.03574010949282098957
"[-2,-1)","[20,25)",0.04218966933952908509
"[-2,-1)","[25,30)",0.04715907343033808103
"[-2,-1)","[30,45)",0.04907587328844502689
"[-2,-1)","[45,60)",0.04628938124083755152
"[-2,-1)","[60,75)",0.04393736903760167632
"[-2,-1)","[75,90)",0.03948016519531694010
"[-2,-1)","[90,120)",0.03654538002641286033
"[-2,-1)","[120,150)",0.03898032796823376072
"[-2,-1)","[150,180)",0.03814317453451564067
"[-2,-1)","[180,240)",0.02935403149677090669
"[-2,-1)","[240,300)",0.02471731494064254763
"[-2,-1)","[300,360)",0.02336828783221840535
"[-2,-1)","[360,)",0.02029234737747205503
"[-1,0)","[0,5)",0.06829419909016416603
"[-1,0)","[5,10)",0.07681834467932640631
"[-1,0)","[10,15)",0.08295647945538536348
"[-1,0)","[15,20)",0.09239747959921495713
"[-1,0)","[20,25)",0.09242626016490522200
"[-1,0)","[25,30)",0.08638139477650967484
"[-1,0)","[30,45)",0.07460798047810565322
"[-1,0)","[45,60)",0.05924819517052526761
"[-1,0)","[60,75)",0.04751769539177349899
"[-1,0)","[75,90)",0.04124199598378357898
"[-1,0)","[90,120)",0.03390409399335124550
"[-1,0)","[120,150)",0.03391834136582704374
"[-1,0)","[150,180)",0.03114370539313029630
"[-1,0)","[180,240)",0.02425940632632572636
"[-1,0)","[240,300)",0.01833286325991641240
"[-1,0)","[300,360)",0.01428313144096908335
"[-1,0)","[360,)",0.01345657781599312124
"[0,1)","[0,5)",0.41889180865191715408
"[0,1)","[5,10)",0.37152752896214021259
"[0,1)","[10,15)",0.33146122052030148310
"[0,1)","[15,20)",0.27900010329511414110
"[0,1)","[20,25)",0.24353271186920919162
"[0,1)","[25,30)",0.20860122435167810010
"[0,1)","[30,45)",0.17785485110036603552
"[0,1)","[45,60)",0.14282355544491466822
"[0,1)","[60,75)",0.12357900641818871785
"[0,1)","[75,90)",0.11148789451748569697
"[0,1)","[90,120)",0.10395509813743795255
"[0,1)","[120,150)",0.09960292200903276651
"[0,1)","[150,180)",0.10043058532077623326
"[0,1)","[180,240)",0.10088856256649235057
"[0,1)","[240,300)",0.11471500730750493577
"[0,1)","[300,360)",0.13962212981377689387
"[0,1)","[360,)",0.16719690455717970765
"[1,2)","[0,5)",0.14147664660506908536
"[1,2)","[5,10)",0.13421712647796488714
"[1,2)","[10,15)",0.12509117432530999271
"[1,2)","[15,20)",0.11210102262162999690
"[1,2)","[20,25)",0.10477998469951548466
"[1,2)","[25,30)",0.09767127080321161596
"[1,2)","[30,45)",0.08728365493244159248
"[1,2)","[45,60)",0.07271872320416009736
