"label","secondary_label","percent"
"[-9,-8)","[31,46)",0.00354452355609751057
"[-9,-8)","[46,61)",0.00318390715064651815
"[-9,-8)","[61,76)",0.00323131325448116083
"[-9,-8)","[76,91)",0.00369152292100140949
"[-9,-8)","[91,)",0.00310501264316525361
"[-8,-7)","[0,1)",0.000011935096942824918095
"[-8,-7)","[1,2)",0.000016251178210420255469
"[-8,-7)","[3,4)",0.000008339982152438193782
"[-8,-7)","[4,5)",0.000004119498409873613789
"[-8,-7)","[5,6)",0.000021030825933111458120
"[-8,-7)","[6,7)",0.000007910703973546605912
"[-8,-7)","[7,8)",0.000042257836187498019164
"[-8,-7)","[8,9)",0.01055867698505247535
"[-8,-7)","[9,10)",0.00662141179791861823
"[-8,-7)","[10,11)",0.01006832074793239842
"[-8,-7)","[11,16)",0.00567216718290049113
"[-8,-7)","[16,21)",0.00410527470346441312
"[-8,-7)","[21,26)",0.00380288499700531827
"[-8,-7)","[26,31)",0.00365536212084848709
"[-8,-7)","[31,46)",0.00390620963325031777
"[-8,-7)","[46,61)",0.00369995326374824739
"[-8,-7)","[61,76)",0.00447099947160915336
"[-8,-7)","[76,91)",0.00523525068796563528
"[-8,-7)","[91,)",0.00342109177450542912
"[-7,-6)","[0,1)",0.000019891828238041530159
"[-7,-6)","[2,3)",0.000008995326927661080069
"[-7,-6)","[3,4)",0.000011119976203250925043
"[-7,-6)","[4,5)",0.000020597492049368068944
"[-7,-6)","[5,6)",0.000005257706483277864530
"[-7,-6)","[6,7)",0.000039553519867733029562
"[-7,-6)","[7,8)",0.01370210338379623271
"[-7,-6)","[8,9)",0.00628644121700413442
"[-7,-6)","[9,10)",0.00997061427709838443
"[-7,-6)","[10,11)",0.00880978065444084862
"[-7,-6)","[11,16)",0.00715938174914879063
"[-7,-6)","[16,21)",0.00539013167172426761
"[-7,-6)","[21,26)",0.00503683819337706290
"[-7,-6)","[26,31)",0.00470766333745638488
"[-7,-6)","[31,46)",0.00511010757577323316
"[-7,-6)","[46,61)",0.00539414238978033962
"[-7,-6)","[61,76)",0.00526358574157623054
"[-7,-6)","[76,91)",0.00533592858581112826
"[-7,-6)","[91,)",0.00546630968317715306
"[-6,-5)","[0,1)",0.000020554889179309581164
"[-6,-5)","[2,3)",0.000014992211546101800115
"[-6,-5)","[3,4)",0.000016679964304876387565
"[-6,-5)","[4,5)",0.000024716990459241682733
"[-6,-5)","[5,6)",0.000026288532416389322650
"[-6,-5)","[6,7)",0.01440539193582836937
"[-6,-5)","[7,8)",0.00873680763176521546
"[-6,-5)","[8,9)",0.01170359376656418955
"[-6,-5)","[9,10)",0.00938033338038470916
"[-6,-5)","[10,11)",0.00890659143086327552
"[-6,-5)","[11,16)",0.00824693141904095797
"[-6,-5)","[16,21)",0.00731219412830811497
"[-6,-5)","[21,26)",0.00694910484272508822
"[-6,-5)","[26,31)",0.00629534587479461665
"[-6,-5)","[31,46)",0.00703737767260176296
"[-6,-5)","[46,61)",0.00673780962766786104
"[-6,-5)","[61,76)",0.00790553997479982116
"[-6,-5)","[76,91)",0.00708101214846634002
"[-6,-5)","[91,)",0.00490852298081213744
"[-5,-4)","[0,1)",0.000034479168945938652276
"[-5,-4)","[2,3)",0.000041978192329085040322
"[-5,-4)","[3,4)",0.000036139922660565506390
"[-5,-4)","[4,5)",0.000061792476148104206832
"[-5,-4)","[5,6)",0.01523157568205597354
"[-5,-4)","[6,7)",0.01126484245833036682
"[-5,-4)","[7,8)",0.01617418680076486683
"[-5,-4)","[8,9)",0.01385561327255380049
"[-5,-4)","[9,10)",0.01225474470351217134
"[-5,-4)","[10,11)",0.01349818825546980887
"[-5,-4)","[11,16)",0.01139813540954123081
"[-5,-4)","[16,21)",0.00979834013193287406
"[-5,-4)","[21,26)",0.01052107462169592795
"[-5,-4)","[26,31)",0.00993224657079033360
"[-5,-4)","[31,46)",0.00996703489753950129
"[-5,-4)","[46,61)",0.00888962455211092070
"[-5,-4)","[61,76)",0.01036458968418485551
"[-5,-4)","[76,91)",0.00852406201758507282
"[-5,-4)","[91,)",0.00700951955972036293
"[-4,-3)","[0,1)",0.000064979972244268998519
"[-4,-3)","[1,2)",0.000056879123736470894140
"[-4,-3)","[2,3)",0.000059968846184407200459
"[-4,-3)","[3,4)",0.000063939863168692818997
"[-4,-3)","[4,5)",0.02213406495625092689
"[-4,-3)","[5,6)",0.01522631797557269568
"[-4,-3)","[6,7)",0.02237938154116334813
"[-4,-3)","[7,8)",0.02490042997348320779
"[-4,-3)","[8,9)",0.01758719389377716527
"[-4,-3)","[9,10)",0.02126294447509912869
"[-4,-3)","[10,11)",0.01995685005393743258
"[-4,-3)","[11,16)",0.01585209324489466524
"[-4,-3)","[16,21)",0.01492209901755448890
"[-4,-3)","[21,26)",0.01469198074744369638
"[-4,-3)","[26,31)",0.01471375560765779903
"[-4,-3)","[31,46)",0.01372857009992869617
"[-4,-3)","[46,61)",0.01271615516435581866
"[-4,-3)","[61,76)",0.01394138926147217819
"[-4,-3)","[76,91)",0.01201422914289549634
"[-4,-3)","[91,)",0.01024468243343745352
"[-3,-2)","[0,1)",0.00013194912731234215
"[-3,-2)","[1,2)",0.000032502356420840510937
"[-3,-2)","[2,3)",0.00017690809624400124
