"stop_id","count"
"cz:55207:67509:1:1",8
"cz:55207:67510:1:1",8
"cz:55207:67511:1:1",8
"cz:55207:67512:1:1",8
"cz:55207:67513:1:1",8
"cz:55207:67514:1:1",7
"cz:55207:67515:1:1",5
"cz:55207:67516:1:1",6
"cz:55207:67516:1:1_G",12
"cz:55207:67516:2:2",12
"cz:55207:67519:1:1",6
"cz:55207:67520:1:1",6
"cz:55207:67522:1:1",6
"cz:55207:67523:1:1",6
"cz:55207:67524:1:1",12
"cz:55207:67533:1:1",12
"cz:55209:20105:1:1",12
"cz:55209:20106:1:1",12
"cz:55209:20107:1:1",12
"cz:55411:369",6
"cz:55411:515",14
"cz:55421:11267:2:5",22
"cz:55421:21000:1.1",5
"cz:55421:21000:2:2",4
"cz:55421:21103:1:1",5
"cz:55421:21103:2:2",4
"cz:55421:21104:1:1",5
"cz:55421:21104:1:2",4
"cz:55421:21105:1:1",5
"cz:55421:21105:2:2",4
"cz:55421:21106:1:1",5
"cz:55421:21106:2:2",4
"cz:55421:22260:1:1",6
"cz:55421:22261:1:1",6
"cz:55421:22262:1:1",6
"cz:55421:22263:1:1",6
"cz:55421:22264:1:1",6
"cz:55421:22265:1:1",6
"cz:55421:22266:1:1",6
"cz:55421:22267:1:1",6
"cz:55421:22268:1:1",6
"cz:55421:22269:1:1",6
"cz:55421:4383:2:2",9
"cz:55421:4383:4:8",22
"cz:55421:50002:1:1",9
"cz:55421:50502:1:1",9
"cz:55421:50503:1:1",35
"cz:55421:50504:1:1",7
"cz:55421:50505:1:1",7
"cz:55421:50506:1:1",8
"cz:55421:50507:1:1",9
"cz:55421:50510:1:1",6
"cz:55421:50511:1:1",6
"cz:55421:50512:1:1",6
"cz:55421:50513:1:1",11
"cz:55421:50513:2:2",20
"cz:55421:50514:1:1",6
"cz:55421:50515:1:Gl.1",32
"cz:55421:50516:1:1",6
"cz:55421:50517:1:1",24
"cz:55421:50518:1:1",6
"cz:55421:50519:1:Gl.1",8
"cz:55421:50526:1:1",9
"cz:55421:51001",10
"cz:55421:51001:1:Gl.1",10
"cz:55421:51001:3:1",4
"cz:55421:51004",10
"cz:55421:51004:2:Gl.2",9
"cz:55421:51004:2:Gl.3",9
"cz:55421:51006:1:Gl.1",8
"cz:55421:51007:1:Gl.1",8
"cz:55421:51016",10
"cz:55421:51016:1:Gl.1",10
"cz:55421:7173:1:1",30
"cz:55423:55000:1:1",9
"cz:55423:55001:2:5",9
"cz:55423:55005:1:1",9
"cz:55423:55006:1:1",6
"cz:55423:55008:1:1",9
"cz:55423:55009:1:1",9
"cz:55423:55010:1:1",6
"cz:55511:30000:1:1",6
"cz:55511:30000:2:2",7
"cz:55511:30000:3:3",19
"cz:55511:30051:1:1",8
"cz:55511:30062:1:1",12
"cz:55511:30503:1:1",12
"cz:55511:30531:1:1",6
"cz:55511:30573:1:1",6
"cz:55511:30620:1:1",12
"cz:55511:30634:1:1",12
"cz:55511:30750:1:1",7
"cz:55511:30820:1:1",6
"cz:55511:30874:1:1",6
"cz:55511:30994:1:1",12
"cz:55511:31026:1:1",12
"cz:55511:31081:1:1",6
"cz:55511:31113:1:1",4
"cz:55511:31146:2:2",4
"cz:55511:31210:1:1",6
"cz:55511:31320:1:1",7
"cz:55511:31344:1:1",6
"cz:55511:31370:1:1",10
"cz:55511:31420:1:1",6
"cz:55511:31460:1:1",6
"cz:55511:31496:1:1",6
"cz:55511:31510:1:1",7
"cz:55512:35000:1:Gl.1",18
"cz:55512:350209:1:Gl.1",18
"cz:55512:35038:1:Gl.1",18
"cz:55512:35046:1:Gl.1",18
"cz:55512:35048:1:Gl.1",18
"cz:55512:35049:1:Gl.1",18
"cz:55512:35530:1:Gl.1",15
"cz:55512:35534:1:Gl.1",15
"cz:55512:35545:1:Gl.1",10
"cz:55512:35630:1:Gl.1",13
"cz:55512:35640:1:Gl.1",14
"cz:55512:35641:1:Gl.1",14
"cz:55512:35679:1:Gl.1",10
"cz:55512:35691:1:Gl.1",11
"cz:55512:35692:1:Gl.1",3
"cz:55512:35720:1:Gl.1",18
"cz:55512:35740:1:Gl.1",18
"cz:55512:35752:1:Gl.1",6
"cz:55512:35780:1:Gl.1",12
"cz:55512:35820:1:Gl.1",11
"cz:55512:35860:1:Gl.1",6
"cz:55512:35880:1:Gl.1",13
"cz:55512:35920:1:Gl.1",18
"cz:55512:35920:1:Gl.2",13
"cz:55512:35930:1:Gl.1",18
"cz:55512:35931:1:Gl.1",18
"cz:55512:35933:1:Gl.1",18
"cz:55512:35940:1:Gl.1",6
"cz:55512:35940:2:Gl.2",26
"cz:55512:35941:1:Gl.1",13
"cz:55512:35942:1:Gl.1",18
"cz:55512:35970:1:Gl.1",7
"cz:55512:35980:1:Gl.1",11
"cz:55512:36021:1:Gl.1",6
"cz:55512:36040:1:1",18
"cz:55512:36040:1:2",11
"cz:55513:20014:1:Gl.1",6
"cz:55513:20015:1:Gl.1",6
"cz:55513:20016:1:Gl.1",10
"cz:55513:30780:1:1",12
"cz:55513:30800:1:1",6
"cz:55513:40029:1:Gl.1",16
"cz:55513:40030:1:Gl.1",18
"cz:55513:40035:1:Gl.1",12
"cz:55513:40044:1:Gl.1",18
"cz:55513:40047:1:Gl.1",18
"cz:55513:40048:1:1",6
"cz:55513:40050:1:1",6
"cz:55513:40051:1:Gl.1",9
"cz:55513:40093:1:1",6
"cz:55513:41030:1:Gl.1",17
"cz:55513:41050:1:Gl.1",12
"cz:55513:41121:1:Gl.1",6
"cz:55513:41182:1:Gl.1",8
"cz:55513:41196:2:Gl.2",18
"cz:55513:41220:1:Gl.1",12
"cz:55513:41270:1:Gl.1",6
"cz:55513:41290:1:Gl.1",3
"cz:55513:41291:1:Gl.1",3
"cz:55513:41310",14
"cz:55513:41310:1:1",9
